match_id,timestamp,type_id,type_name,team_id,team_name,player_id,player_name,shot_xg,shot_result_id,shot_result
7443,00:15:03.800,16,Shot,765,Portland Thorns FC,5003,Emily Sonnett,0.62073666,97,Goal
7443,00:16:27.800,16,Shot,760,Seattle Reign FC,5006,Beverly Yanez,0.058930013,101,Wayward
7443,00:17:15.360,16,Shot,760,Seattle Reign FC,4998,Rumi Utsugi,0.030748216,96,Blocked
7443,00:18:29.440,16,Shot,760,Seattle Reign FC,5002,Jodie Taylor,0.76,97,Goal
7443,00:19:52.960,16,Shot,765,Portland Thorns FC,5018,Andressa Cavalari Machry,0.069626816,96,Blocked
7443,00:23:59.880,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.05312884,101,Wayward
7443,00:24:14.080,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.066558115,97,Goal
7443,00:28:02.560,16,Shot,760,Seattle Reign FC,5002,Jodie Taylor,0.20005307,100,Saved
7443,00:28:56.293,16,Shot,760,Seattle Reign FC,5002,Jodie Taylor,0.24614456,96,Blocked
7443,00:29:36.480,16,Shot,760,Seattle Reign FC,4998,Rumi Utsugi,0.011383719,97,Goal
7443,00:33:02.720,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.029873796,98,Off T
7443,00:35:36.200,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.034299016,96,Blocked
7443,00:40:19.120,16,Shot,765,Portland Thorns FC,5009,Margaret Purce,0.018659495,100,Saved
7443,00:42:19.040,16,Shot,765,Portland Thorns FC,5013,Tobin Heath,0.37646845,100,Saved
7443,00:42:19.800,16,Shot,765,Portland Thorns FC,5013,Tobin Heath,0.46742824,96,Blocked
7443,00:42:59.440,16,Shot,765,Portland Thorns FC,5020,Christine Sinclair,0.08389726,96,Blocked
7443,00:43:30.720,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.05856229,100,Saved
7443,00:44:06.240,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.011357373,96,Blocked
7443,00:44:13.000,16,Shot,765,Portland Thorns FC,4999,Lindsey Horan,0.030363064,100,Saved
7444,00:00:26.240,16,Shot,761,Chicago Red Stars,5104,Summer Green,0.013721521,96,Blocked
7444,00:01:03.040,16,Shot,766,North Carolina Courage,5055,Lynn Williams,0.02893483,98,Off T
7444,00:13:07.813,16,Shot,761,Chicago Red Stars,4961,Samantha Kerr,0.014656199,101,Wayward
7444,00:15:14.600,16,Shot,766,North Carolina Courage,5088,Crystal Alyssia Dunn,0.14557707,98,Off T
7444,00:16:05.120,16,Shot,766,North Carolina Courage,5091,McCall Zerboni,0.060297254,100,Saved
7444,00:16:40.960,16,Shot,766,North Carolina Courage,5087,Samantha Mewis,0.07613846,96,Blocked
7444,00:16:42.040,16,Shot,766,North Carolina Courage,5087,Samantha Mewis,0.28918913,96,Blocked
7444,00:16:45.960,16,Shot,766,North Carolina Courage,5087,Samantha Mewis,0.30537966,96,Blocked
7444,00:16:52.560,16,Shot,766,North Carolina Courage,5047,Jaelene Hinkle,0.045272704,98,Off T
7444,00:19:58.200,16,Shot,766,North Carolina Courage,5084,Denise O'Sullivan,0.029803537,96,Blocked
7444,00:20:01.800,16,Shot,766,North Carolina Courage,5083,Merritt Mathias,0.026598189,101,Wayward
7444,00:22:07.200,16,Shot,766,North Carolina Courage,5088,Crystal Alyssia Dunn,0.15223785,101,Wayward
7444,00:23:50.453,16,Shot,761,Chicago Red Stars,5105,Sofia Huerta,0.021394089,98,Off T
7444,00:28:09.400,16,Shot,766,North Carolina Courage,5088,Crystal Alyssia Dunn,0.057996523,100,Saved
7444,00:29:49.880,16,Shot,766,North Carolina Courage,5087,Samantha Mewis,0.16843729,98,Off T
7444,00:33:11.573,16,Shot,761,Chicago Red Stars,4957,Lauren Kaskie,0.08521275,96,Blocked
7444,00:33:14.040,16,Shot,761,Chicago Red Stars,4957,Lauren Kaskie,0.072642,96,Blocked
7444,00:34:30.520,16,Shot,766,North Carolina Courage,5091,McCall Zerboni,0.04761729,96,Blocked
7444,00:34:47.880,16,Shot,766,North Carolina Courage,5083,Merritt Mathias,0.043000527,100,Saved
7444,00:36:00.160,16,Shot,766,North Carolina Courage,5044,Débora Cristiane de Oliveira,0.022139983,96,Blocked
7444,00:36:53.533,16,Shot,761,Chicago Red Stars,4961,Samantha Kerr,0.057666786,97,Goal
7444,00:39:23.920,16,Shot,766,North Carolina Courage,5087,Samantha Mewis,0.010088071,98,Off T
7444,00:41:13.040,16,Shot,766,North Carolina Courage,5044,Débora Cristiane de Oliveira,0.103094354,100,Saved
7444,00:41:16.520,16,Shot,766,North Carolina Courage,5055,Lynn Williams,0.08006459,98,Off T
